dot_number,legal_name,carrier_type,usdot_status,authority_status,fleet_power_units,fleet_drivers,fleet_bucket,inspection_count,sms_present,validation_failures,has_conflicts,conflict_rules,is_verification_dot
2051387,TREDZ CENTRAL LLC,PRIVATE,ACTIVE,NOT_REQUIRED,7,8,3-10 (small),3,False,0,NO,,YES
888283,PUBLIC SERVICE COMPANY OF NORTH CAROLINA INCORPORATED,PRIVATE,ACTIVE,NOT_REQUIRED,145,235,51-200 (large),11,False,0,NO,,YES
1074419,LDI TRUCKING INC,FOR_HIRE_INTERSTATE,ACTIVE,CONFIRMED_ACTIVE,140,134,51-200 (large),410,False,1,YES,insurance_dates_internally_consistent,YES
2383948,CASTELLI DEVELOPMENT CORPORATION LLC,PRIVATE,ACTIVE,NOT_REQUIRED,20,20,11-50 (medium),15,False,0,NO,,NO
2175746,MICHAEL'S LIMOUSINE CO INC,FOR_HIRE_INTERSTATE,ACTIVE,CONFIRMED_ACTIVE,10,8,3-10 (small),8,True,0,NO,,NO
648040,G M FUEL CO INC,FOR_HIRE_INTERSTATE,ACTIVE,CONFIRMED_ACTIVE,5,1,3-10 (small),16,False,0,NO,,NO
3036633,STEEL VALLEY CONTRACTORS LLC,PRIVATE,ACTIVE,NOT_REQUIRED,7,2,3-10 (small),2,False,0,NO,,NO
1258131,RGD TRUCKING INC,FOR_HIRE_INTERSTATE,ACTIVE,CONFIRMED_ACTIVE,6,6,3-10 (small),7,False,0,NO,,NO
1083818,WHEELS ENTERPRISE INC,FOR_HIRE_INTERSTATE,ACTIVE,CONFIRMED_REVOKED,15,15,11-50 (medium),0,False,1,YES,insurance_dates_internally_consistent,NO
3150227,XPERT TRANSPORT LLC,FOR_HIRE_INTERSTATE,ACTIVE,REQUIRES_VERIFICATION,3,1,3-10 (small),0,False,0,NO,,NO
3990182,CCQ TRANSPORT LLC,FOR_HIRE_INTERSTATE,ACTIVE,CONFIRMED_ACTIVE,1,1,1-2 (owner-op),1,False,0,NO,,NO
3917322,CAPPS TRANSPORT LLC,FOR_HIRE_INTERSTATE,ACTIVE,CONFIRMED_ACTIVE,2,2,1-2 (owner-op),21,False,0,NO,,NO
1982156,OLACIO TRUCKING LLC,FOR_HIRE_INTERSTATE,ACTIVE,REQUIRES_VERIFICATION,1,1,1-2 (owner-op),1,False,0,NO,,NO
3672715,HIT THE SPOT TRANSPORTS LLC,FOR_HIRE_INTERSTATE,INACTIVE,REQUIRES_VERIFICATION,1,1,1-2 (owner-op),0,False,0,NO,,NO
1017339,JAMES EDWARD STORY SR,FOR_HIRE_INTERSTATE,INACTIVE,CONFIRMED_REVOKED,1,1,1-2 (owner-op),0,False,0,NO,,NO
2322078,BROTHERS TWO INVESTMENTS INC,PRIVATE,INACTIVE,NOT_REQUIRED,2,2,1-2 (owner-op),0,False,0,NO,,NO
4307941,CHOZEN SAFE HAVEN LLC,FOR_HIRE_INTERSTATE,INACTIVE,CONFIRMED_REVOKED,1,1,1-2 (owner-op),0,False,0,NO,,NO
2846625,DAVINDER SINGH,FOR_HIRE_INTERSTATE,INACTIVE,CONFIRMED_REVOKED,1,1,1-2 (owner-op),0,False,0,NO,,NO
2292725,RANDY E JARRELL JR,FOR_HIRE_INTERSTATE,INACTIVE,CONFIRMED_REVOKED,1,1,1-2 (owner-op),0,False,0,NO,,NO
1605056,RANCHER ENERGY CORP,PRIVATE,ACTIVE,NOT_REQUIRED,1,4,1-2 (owner-op),0,False,0,NO,,NO
2675124,JAMES R PERRY,PRIVATE,ACTIVE,NOT_REQUIRED,7,7,3-10 (small),0,False,0,NO,,NO
1346690,MONSTER DOOR INC,PRIVATE,ACTIVE,NOT_REQUIRED,1,2,1-2 (owner-op),0,False,0,NO,,NO
2959196,ALEMAN TRUCKING LLC,FOR_HIRE_INTERSTATE,ACTIVE,CONFIRMED_ACTIVE,162,159,51-200 (large),608,False,0,NO,,NO
194077,COMBINED TRANSPORT INC,FOR_HIRE_INTERSTATE,ACTIVE,CONFIRMED_ACTIVE,221,173,200+ (very large),799,False,1,YES,insurance_dates_internally_consistent,NO
142781,LUCINI BUS LINES INC,PASSENGER,ACTIVE,CONFIRMED_ACTIVE,273,257,200+ (very large),21,True,0,NO,,NO
2647384,RODNEY J PITTMAN,PRIVATE,ACTIVE,NOT_REQUIRED,0,1,0 (unverified),0,False,1,YES,fleet_data_not_asymmetric,NO
3061400,WERRLEIN PROPERTIES,PRIVATE,ACTIVE,NOT_REQUIRED,0,1,0 (unverified),0,False,1,YES,fleet_data_not_asymmetric,NO
4434356,CAMPBELL CARGO & FREIGHT LLC,FOR_HIRE_INTERSTATE,ACTIVE,CONFIRMED_ACTIVE,0,1,0 (unverified),0,False,1,YES,fleet_data_not_asymmetric,NO
2456715,MTM CARRIERS LLC,FOR_HIRE_INTERSTATE,ACTIVE,CONFIRMED_REVOKED,1,1,1-2 (owner-op),0,False,0,NO,,NO
3049985,J LLAMAS TRUCKING LLC,FOR_HIRE_INTERSTATE,ACTIVE,CONFIRMED_ACTIVE,1,1,1-2 (owner-op),1,False,0,NO,,NO
