dot_number,legal_name,carrier_type,usdot_status,authority_status,fleet_power_units,fleet_drivers,fleet_bucket,inspection_count,sms_present,validation_failures,has_conflicts,conflict_rules
3318511,CLEVELAND TRANSPORTATION SERVICE INC,FOR_HIRE_INTERSTATE,ACTIVE,CONFIRMED_ACTIVE,3,5,3-10 (small),8,False,0,NO,
1065078,PRECISE TANK MODIFICATION INC,MIXED_OPERATION,ACTIVE,CONFIRMED_ACTIVE,4,3,3-10 (small),3,False,0,NO,
616218,HADWICK TRUCKING INC,MIXED_OPERATION,ACTIVE,CONFIRMED_ACTIVE,3,2,3-10 (small),8,False,1,YES,insurance_dates_internally_consistent
3393760,DEARMOND TOWING LLC,FOR_HIRE_INTERSTATE,ACTIVE,CONFIRMED_ACTIVE,4,4,3-10 (small),0,False,0,NO,
2455782,MRM EXPRESS LLC,FOR_HIRE_INTERSTATE,ACTIVE,CONFIRMED_ACTIVE,4,4,3-10 (small),3,False,0,NO,
2585681,BASE TRUCKING LLC,FOR_HIRE_INTERSTATE,ACTIVE,CONFIRMED_ACTIVE,4,4,3-10 (small),8,False,0,NO,
3183794,KGS HAULING AND TRANSPORT LLC,FOR_HIRE_INTERSTATE,ACTIVE,CONFIRMED_ACTIVE,3,2,3-10 (small),2,False,0,NO,
3377734,IMPEL TRANSPORT INC,FOR_HIRE_INTERSTATE,ACTIVE,CONFIRMED_ACTIVE,16,8,11-50 (medium),32,False,0,NO,
2567251,ADVANCED FINISHING USA,FOR_HIRE_INTERSTATE,ACTIVE,CONFIRMED_ACTIVE,1,2,1-2 (owner-op),3,False,0,NO,
31047,NORMAN BROTHERS INC,FOR_HIRE_INTERSTATE,ACTIVE,NOT_FOUND,1,1,1-2 (owner-op),2,False,0,NO,
4260894,M FONSECAS ENTERPRISES INC,PRIVATE,ACTIVE,NOT_REQUIRED,1,1,1-2 (owner-op),1,False,0,NO,
810652,DAVID HYKE,FOR_HIRE_INTERSTATE,ACTIVE,NOT_FOUND,1,1,1-2 (owner-op),0,False,0,NO,
3285049,CJ'S PRIORITY TRANSPORTS LLC,MIXED_OPERATION,INACTIVE,CONFIRMED_REVOKED,1,1,1-2 (owner-op),0,False,0,NO,
1111564,R L H TRUCKING INC,FOR_HIRE_INTERSTATE,INACTIVE,CONFIRMED_REVOKED,4,4,3-10 (small),0,False,0,NO,
3511334,JCG COMPANY INC,PRIVATE,INACTIVE,NOT_REQUIRED,2,2,1-2 (owner-op),0,False,0,NO,
1582146,D & D DISASTER SERVICES INC,MIXED_OPERATION,INACTIVE,CONFIRMED_REVOKED,6,3,3-10 (small),0,False,0,NO,
4023511,DEAL BUSTERS 3 LLC,FOR_HIRE_INTERSTATE,INACTIVE,REQUIRES_VERIFICATION,1,1,1-2 (owner-op),0,False,0,NO,
3000089,CAROLINA SOUTHERN LOGISTICS,FOR_HIRE_INTERSTATE,INACTIVE,CONFIRMED_REVOKED,1,2,1-2 (owner-op),0,False,0,NO,
4275752,VALLEY RIDGE LOGISTICS LLC,PRIVATE,ACTIVE,NOT_REQUIRED,7,8,3-10 (small),8,False,0,NO,
2174951,READ'S UNIFORMS LLC,PRIVATE,ACTIVE,NOT_REQUIRED,5,6,3-10 (small),0,False,0,NO,
973209,WEBB FARMS INC,PRIVATE,ACTIVE,NOT_REQUIRED,2,2,1-2 (owner-op),0,False,0,NO,
1864365,MOUNTAIN TOP LANDSCAPE COMPANY INC,PRIVATE,ACTIVE,NOT_REQUIRED,20,10,11-50 (medium),0,False,0,NO,
2833702,MAR-JAC TRANSPORTATION LLC,MIXED_OPERATION,ACTIVE,CONFIRMED_ACTIVE,135,151,51-200 (large),50,False,0,NO,
966390,NATIONAL DELIVERY SYSTEMS INC,FOR_HIRE_INTERSTATE,ACTIVE,CONFIRMED_ACTIVE,147,136,51-200 (large),208,False,0,NO,
1862174,TRUCK KING LLC,FOR_HIRE_INTERSTATE,ACTIVE,CONFIRMED_ACTIVE,70,48,51-200 (large),44,False,0,NO,
960311,TOUR PRINCE OF FLORIDA INC,REQUIRES_VERIFICATION,ACTIVE,NOT_FOUND,0,3,0 (unverified),0,False,1,YES,fleet_data_not_asymmetric
1875715,IRON PONY TRACKSIDE LLC,PRIVATE,INACTIVE,NOT_REQUIRED,0,1,0 (unverified),0,False,1,YES,fleet_data_not_asymmetric
404543,JACK CRAWFORD,REQUIRES_VERIFICATION,INACTIVE,NOT_FOUND,3,0,3-10 (small),0,False,1,YES,fleet_data_not_asymmetric
3128165,JR TRANSPORTATION JUST RITE LLC,FOR_HIRE_INTERSTATE,ACTIVE,CONFIRMED_REVOKED,1,1,1-2 (owner-op),0,False,0,NO,
3910116,LEGENDZ21LOGISTICS LIMITED LIABILITY COMPANY,FOR_HIRE_INTERSTATE,ACTIVE,CONFIRMED_ACTIVE,1,1,1-2 (owner-op),5,False,0,NO,
